"","x"
"1","TOGARAM1"
"2","TCF4"
"3","INSL6"
"4","TGM2"
"5","JAG1"
"6","USPL1"
"7","TRERF1"
"8","SP4"
"9","NUP155"
"10","IRF4"
"11","IL15"
"12","CORO2B"
"13","TESK1"
"14","KLRB1"
"15","IKZF3"
"16","AHR"
"17","IL22"
"18","COG3"
"19","SBNO2"
"20","GCLC"
"21","DAPP1"
"22","PDSS1"
"23","C18orf54"
"24","GALC"
"25","DCLRE1C"
"26","RCBTB2"
"27","ZNF451"
"28","STX11"
"29","RIOK1"
"30","TCIRG1"
"31","HSPA4L"
"32","NFIL3"
"33","LGMN"
"34","KCTD9"
"35","CEP192"
"36","UBQLN2"
"37","FAM184B"
"38","KIF23"
"39","PHRF1"
"40","HECTD2"
"41","ATP8A2"
"42","DEPTOR"
"43","CNNM2"
"44","EPAS1"
"45","CD72"
"46","ABCB1"
"47","GZMA"
"48","PSD"
"49","SMIM36"
"50","ZSWIM8"
"51","ARNTL"
"52","ANKRD6"
"53","PRRT1"
"54","MICAL1"
"55","NPNT"
"56","KANSL1L"
"57","GEM"
"58","ST6GALNAC5"
"59","GJB2"
"60","REPS1"
"61","SLC39A4"
"62","BASP1"
"63","ABHD17C"
"64","TOX"
"65","SIPA1L1"
"66","UNC45A"
"67","P2RX7"
"68","HLF"
"69","TCF7"
"70","IL4"
"71","LDLR"
"72","PLCB4"
"73","SAFB2"
"74","HS6ST2"
"75","GPR107"
"76","TRBC1"
"77","TRBC2"
"78","G2E3"
"79","BHLHB9"
"80","RET"
"81","TXK"
"82","ABI3"
"83","NEIL1"
"84","USP9X"
"85","CEP41"
"86","PANK4"
"87","PPME1"
"88","ST6GALNAC3"
"89","CXXC5"
"90","DUS2"
"91","NXPE4"
"92","PPM1L"
"93","NKG7"
"94","CD160"
"95","TMEM218"
"96","ZNF574"
"97","MAP4K3"
"98","CLASP2"
"99","SLC24A5"
"100","RXRG"
"101","ADAM12"
"102","SETD5"
"103","ATG13"
"104","ULK1"
"105","RASA2"
"106","PTPN22"
"107","NEB"
"108","MSI2"
"109","NUPR1"
"110","MSANTD4"
"111","EFCAB2"
"112","GCNT2"
"113","RAD51B"
"114","ACTR8"
"115","ZNF746"
"116","FUCA1"
"117","ZDHHC17"
"118","IL17RB"
"119","DTX1"
"120","SYCE2"
"121","DKK3"
"122","MTHFR"
"123","MYSM1"
"124","ARRB1"
"125","CERS6"
"126","ANKZF1"
"127","OR2Y1"
"128","ZNF317"
"129","RNU4-1"
"130","TIMP2"
"131","ARHGAP17"
"132","RCCD1"
"133","GBP6"
"134","TNFSF18"
"135","MYNN"
"136","LITAF"
"137","NT5E"
"138","TLE3"
"139","CTSS"
"140","CEP170"
"141","PPP2R3A"
"142","TEX2"
"143","PSD3"
"144","SCFD2"
"145","NAV2"
"146","RPN1"
"147","IKZF2"
"148","SYNE1"
"149","HVCN1"
"150","ACTR1B"
"151","CHDH"
"152","IL18R1"
"153","RANBP2"
"154","FAM126A"
"155","PTGS2"
"156","ZNF180"
"157","SORBS1"
"158","CEP97"
"159","C12orf42"
"160","LEMD3"
"161","RFX5"
"162","AFDN"
"163","SREBF1"
